Item,Qty,Datetime,Traffic
Croissant - Ube & Strawberry - FM,1,2023-10-21 09:36:43,728
Croissant - Butter - FM,1,2023-10-21 09:36:43,728
Croissant - Pain Au Chocolat - FM,1,2023-10-21 09:36:24,728
Berry Croissant - FM,1,2023-10-21 09:36:01,728
Croissant - Pumpkin Croissant - FM,1,2023-10-21 09:36:01,728
Berry Croissant - FM,1,2023-10-21 09:35:03,728
Croissant - Almond - FM,1,2023-10-21 09:34:07,728
Croissant - Butter - FM,1,2023-10-21 09:27:19,728
Croissant - Ube & Strawberry - FM,1,2023-10-21 09:26:39,728
Croissant - Pain Au Chocolat - FM,1,2023-10-21 09:26:39,728
Croissant - Pain Au Chocolat - FM,2,2023-10-21 09:25:30,728
Croissant - Almond - FM,1,2023-10-21 09:25:30,728
Croissant - Almond - FM,1,2023-10-21 09:23:13,728
Berry Croissant - FM,1,2023-10-21 09:23:13,728
Croissant - Ube & Strawberry - FM,1,2023-10-21 09:16:36,728
Croissant - Pain Au Chocolat - FM,1,2023-10-21 09:16:36,728
Croissant - Butter - FM,1,2023-10-21 09:10:37,728
Croissant - Pumpkin Croissant - FM,1,2023-10-21 09:10:37,728
Croissant - Pumpkin Croissant - FM,1,2023-10-21 09:08:21,728
Croissant - Almond - FM,1,2023-10-21 09:06:49,728
Croissant - Almond - FM,1,2023-10-21 09:06:34,728
KA - Original - FM,2,2023-10-21 09:01:42,728
Croissant - Ube & Strawberry - FM,1,2023-10-21 09:01:42,728
Berry Croissant - FM,1,2023-10-21 09:01:23,728
Croissant - Butter - FM,2,2023-10-21 09:00:54,728
KA - Original - FM,1,2023-10-21 09:00:54,728
Croissant - Butter - FM,2,2023-10-21 08:59:18,354
Berry Croissant - FM,1,2023-10-21 08:55:10,354
Croissant - Almond - FM,1,2023-10-21 08:54:32,354
Croissant - Pumpkin Croissant - FM,1,2023-10-21 08:53:55,354
Berry Croissant - FM,1,2023-10-21 08:53:55,354
KA - Original - FM,1,2023-10-21 08:49:42,354
Croissant - Pumpkin Croissant - FM,1,2023-10-21 08:49:22,354
Croissant - Pumpkin Croissant - FM,1,2023-10-21 08:41:18,354
Croissant - Almond - FM,1,2023-10-21 08:40:35,354
Croissant - Pumpkin Croissant - FM,1,2023-10-21 08:37:08,354
Croissant - Butter - FM,1,2023-10-21 08:36:45,354
Croissant - Almond - FM,1,2023-10-21 08:36:04,354
KA - Original - FM,1,2023-10-21 08:35:45,354
Croissant - Butter - FM,4,2023-10-21 08:33:21,354
Berry Croissant - FM,1,2023-10-21 08:33:21,354
Croissant - Almond - FM,1,2023-10-21 08:32:21,354
Croissant - Butter - FM,1,2023-10-21 08:30:33,354
KA - Original - FM,1,2023-10-21 08:30:33,354
Croissant - Pain Au Chocolat - FM,1,2023-10-21 08:28:03,354
Berry Croissant - FM,1,2023-10-21 08:26:52,354
Croissant - Butter - FM,1,2023-10-21 08:25:34,354
Croissant - Butter - FM,1,2023-10-21 08:18:54,354
Croissant - Pain Au Chocolat - FM,1,2023-10-21 08:18:35,354
Croissant - Pumpkin Croissant - FM,1,2023-10-21 08:18:10,354
KA - Original - FM,1,2023-10-21 08:11:23,354
Croissant - Pain Au Chocolat - FM,1,2023-10-21 08:09:25,354
Berry Croissant - FM,1,2023-10-21 08:06:29,354
Croissant - Pumpkin Croissant - FM,1,2023-10-21 08:06:29,354
Croissant - Almond - FM,1,2023-10-21 07:55:12,286
Croissant - Pain Au Chocolat - FM,2,2023-10-21 07:55:12,286
Croissant - Butter - FM,3,2023-10-21 07:54:18,286
Croissant - Pain Au Raisin - FM,11,2023-10-21 07:48:39,286
Croissant - Butter - FM,3,2023-10-21 07:48:39,286
Croissant - Pain Au Chocolat - FM,2,2023-10-21 07:48:39,286
Blueberry Mint Croissant - FM,1,2023-10-07 11:26:50,893
Croissant - Pumpkin Croissant - FM,2,2023-10-07 11:24:02,893
Croissant - Almond - FM,1,2023-10-07 11:18:51,893
Croissant - Pumpkin Croissant - FM,1,2023-10-07 11:18:51,893
Croissant - Almond - FM,1,2023-10-07 11:17:46,893
Croissant - Pumpkin Croissant - FM,1,2023-10-07 11:16:22,893
Drink 2 - Cold Brew - FM,1,2023-10-07 11:12:35,893
Drink 2 - Cold Brew - FM,2,2023-10-07 11:11:22,893
Croissant - Almond - FM,1,2023-10-07 11:10:43,893
Drink 2 - Cold Brew - FM,2,2023-10-07 11:09:48,893
Drink 2 - Cold Brew - FM,1,2023-10-07 11:09:17,893
Drink 2 - Cold Brew - FM,2,2023-10-07 11:08:13,893
Drink 2 - Cold Brew - FM,1,2023-10-07 11:04:24,893
Baguette - FM,1,2023-10-07 11:04:24,893
Drink 2 - Cold Brew - FM,1,2023-10-07 10:59:45,1186
Blueberry Mint Croissant - FM,1,2023-10-07 10:58:58,1186
